rank	headword	en	pos	group	nl
1	ὁ ἡ τό	the	definite article	Pronouns/Interrogatives	de, het (lidwoord)
2	αὐτός αὐτή αὐτό	him- her- itself etc. (for emphasis); the same (with article); (pron.) him, her, it etc. (in oblique cases)	adjective: 1st and 2nd declension	Pronouns/Interrogatives	zelf; (met lidw.) dezelfde; hem, haar, het
3	καί	and, also, even; καί...καί both...and	conjunction: coordinating	Conjunctions/Adverbs	en, ook, zelfs; καί ... καί: zowel ... als
4	δέ	and; but	conjunction: coordinating	Particles	en; maar
5	τίς τί	who? what? which? (interrog. pron./adj.)	pronoun	Pronouns/Interrogatives	wie? wat? welk?
6	εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι	be, exist	verb: irregular	Humanity and Being	zijn, bestaan
7	οὗτος αὕτη τοῦτο	this, these; μετὰ ταῦτα after this	pronoun	Pronouns/Interrogatives	deze, dit; μετὰ ταῦτα: daarna
8	ἤ	or; than (after a comparative); ἤ...ἤ either...or	conjunction: coordinating	Conjunctions/Adverbs	of; (na comparatief) dan; ἤ ... ἤ: ofwel ... ofwel
9	ἐν	in, among (+dat.)	preposition	Direction	in, onder (+ dat.)
10	μέν...δέ	on the one hand...on the other hand (often untranslated); μέν (by itself) indeed	conjunction: coordinating	Particles	enerzijds ... anderzijds (vaak onvertaald)
11	τις τι	someone, something, anyone, anything, some, any (enclitic indef. pron./adj.)	pronoun	Pronouns/Interrogatives	iemand, iets; een of ander
12	ὅς ἥ ὅ	who, which, that	pronoun	Pronouns/Interrogatives	die, dat, welke
13	γάρ	for (explanatory), indeed, in fact (confirming)	conjunction: coordinating	Conjunctions/Adverbs	want, immers; inderdaad
14	οὐ, οὐκ, οὐχ	not (with indicative verbs)	adverb	Conjunctions/Adverbs	niet
15	λέγω, ἐρῶ, εἶπον, εἴρηκα, λέλεγμαι, ἐλέχθην and ἐρρήθην	say, speak (of), recount; pick up, collect, count	verb: irregular	Writing and Talking	zeggen, spreken; vertellen
16	ὡς	as, since; (introducing purpose clause) so that (+subj./opt.); (introducing indir. statement) that	conjunction: subordinating	Conjunctions/Adverbs	zoals, omdat; opdat (+ conj./opt.); dat
17	τε	and; τε…τε both…and	conjunction: coordinating	Conjunctions/Adverbs	en; τε ... τε: zowel ... als
18	εἰς	into, to, towards (+acc.)	preposition	Direction	in, naar, tot (+ acc.)
19	ἐπί	at (+gen.); on (+dat.); on to, against (+acc.)	preposition	Direction	op, bij (+ gen.); op, bij (+ dat.); naar, tegen (+ acc.)
20	κατά	down, down (from or along), throughout, according to; κατὰ γῆν by land; κατὰ φύσιν in accordance with nature; κατ’ ἔθνη by nations; καθ᾿ἕνα one by one.	preposition	Direction	langs, neer; volgens, over (+ acc.); neer van (+ gen.)
21	ἐγώ ἐμοῦ, (pl.) ἡμεῖς, ἡμῶν	I, we	pronoun	Pronouns/Interrogatives	ik; wij
22	πρός	from the side of, in the presence of (+gen.); near, at, in addition to (+dat.); to, towards, in relation to (+acc.)	preposition	Direction	van de kant van (+ gen.); bij (+ dat.); naar, tegen (+ acc.)
23	γίγνομαι, γενήσομαι, 2 aor. ἐγενόμην, γέγονα, γεγένημαι, ἐγενήθην	become; be born; happen, be	verb: deponent	Humanity and Being	worden; geboren worden; gebeuren, zijn
24	ἐάν (εἰ-ἄν)	if (+subj.)	conjunction: subordinating	Conjunctions/Adverbs	als, indien (+ conj.)
25	διά	through, during, because of (+gen., acc.)	preposition	Prepositions without Direction	door (+ gen.); wegens (+ acc.)
26	ἀλλά	but	conjunction: coordinating	Conjunctions/Adverbs	maar
27	πᾶς πᾶσα πᾶν	every, all; whole (with article)	noun: 3rd declension irregular	Measurements and Numerals	elk, al, alle; geheel
28	ἔχω, ἕξω or σχήσω, 2 aor. ἔσχον, ἔσχηκα, impf. εἶχον	have, hold, keep	verb: irregular	Taking and Giving	hebben, houden
29	ἐκ, ἐξ	from, out of (+gen.)	preposition	Direction	uit, van (+ gen.)
30	πολύς πολλή πολύ	much, many; ὡς ἐπὶ τὸ πολύ for the most part	noun: 3rd declension irregular	Measurements and Numerals	veel; ὡς ἐπὶ τὸ πολύ: meestal
31	περί	around, about; concerning (+gen.)	preposition	Direction	over, betreffende (+ gen.); rond, om (+ acc.)
32	μή	not (marks the negative as subjective or conditional); εἰ μή if not, except	conjunction: subordinating	Conjunctions/Adverbs	niet (bij wens, bevel, voorwaarde); εἰ μή: behalve
33	ὅστις ἥτις ὅ τι	anyone who, anything which; (in indir. quest.) who, which, what	pronoun	Pronouns/Interrogatives	al wie, al wat; wie, wat (in indirecte vraag)
34	ἄν	[marks verbs as potential (with optative), or generalizing (with subjunctive)]	adverb	Particles	partikel van mogelijkheid of herhaling (onvertaald)
35	σύ, σοῦ, (pl.) ὑμεῖς, ὑμῶν	you	pronoun	Pronouns/Interrogatives	jij; jullie
36	ἀνά	up, on; throughout	preposition	Direction	op, omhoog langs; doorheen (+ acc.)
37	ὅτι	because, that; (with superl.) as...as possible	conjunction: subordinating	Conjunctions/Adverbs	dat; omdat; (+ superl.) zo ... mogelijk
38	εἰ	if (+indic. or opt.); εἴπερ if indeed	conjunction: subordinating	Conjunctions/Adverbs	als, indien; of
39	ἄλλος ἄλλη ἄλλο	other, another	adjective: 1st and 2nd declension	Pronouns/Interrogatives	ander
40	ἀπό	from (+gen.)	preposition	Direction	van, vanaf (+ gen.)
41	φημί, φήσω, impf. ἔφην	say, assert, declare; οὐ φημί deny, refuse, say that...not	verb: -μι	Writing and Talking	zeggen, beweren; οὔ φημι: ontkennen
42	ὑπό	under (+gen., dat.); by (+gen. of personal agent); down under (+acc.)	preposition	Direction	onder (+ gen./dat.); door (+ gen., persoon); onder (+ acc.)
43	ποιέω, ποιήσω, ἐποίησα, πεποίηκα, πεποίημαι, ἐποιήθην	make, produce, cause, do; (mid.) consider, reckon	verb: contracted	Work and Leisure	maken, doen; (med.) achten
44	οὖν	therefore, accordingly; at any rate	adverb	Particles	dus, daarom
45	λόγος λόγου, ὁ	word, speech, discourse; thought, reason, account	noun: 2nd declension	Writing and Talking	woord, rede, verhaal; verstand, redenering
46	παρά	from (+gen.); beside (+dat.); to, to the side of, contrary to (+acc.)	preposition	Direction	van (+ gen.); bij (+ dat.); naar, tegen (+ acc.)
47	οὕτως	in this way	adverb	Conjunctions/Adverbs	zo, op deze manier
48	πρότερος προτέρα πρότερον	before, earlier; τὸ πρότερον previously, before	adjective: 1st and 2nd declension	Time	vroeger, eerder
49	θεός θεοῦ, ὁ/ἡ	god, goddess	noun: 2nd declension	Religion	god, godin
50	μετά	with (+gen.); after (+acc.)	preposition	Prepositions without Direction	met (+ gen.); na (+ acc.)
51	ἑαυτοῦ ἑαυτῆς ἑαυτοῦ	him- her- itself (reflexive pron.)	pronoun	Pronouns/Interrogatives	zich(zelf)
