rank	headword	en	pos	group	nl
1	et	and	Conjunction	Conjunctions/Adverbs	en
2	sum esse fuī futūrum	be, exist; fut. infin. often = fore, impf. subj. often = forem for essem	Verb: Irregular	Life and Being	zijn, bestaan
3	quī quae quod	who, which, what	Pronoun	Pronouns/Interrogatives	die, dat, welke, wat
4	que	and (postpositive enclitic)	Conjunction	Conjunctions/Adverbs	en
5	in	in, on (+ abl.); into, onto (+ acc)	Preposition	Place	in, op (+ abl.); naar, in, op (+ acc.)
6	nōn	not	Adverb	Conjunctions/Adverbs	niet
7	hic haec hoc	this, these	Pronoun	Pronouns/Interrogatives	deze, dit
8	ille illa illud	that	Pronoun	Pronouns/Interrogatives	die, dat, gene
9	tū tuī tibi tē	you (sing.)	Pronoun	Pronouns/Interrogatives	jij, jou
10	cum	with (prep. + abl.); when, since, although (conjunction + subj.)	Preposition	Conjunctions/Adverbs	met (+ abl.); toen, omdat, hoewel (+ conj.)
11	ego meī mihi mē	I, me	Pronoun	Pronouns/Interrogatives	ik, mij
13	is ea id	he, she, it	Pronoun	Pronouns/Interrogatives	hij, zij, het; die, dat
14	ad	to, up to, towards (+acc.)	Preposition	Place	naar, tot, bij (+ acc.)
15	ut, utī	as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!	Adverb	Conjunctions/Adverbs	zoals (+ ind.); opdat, zodat (+ conj.); hoe
16	sī	if	Conjunction	Conjunctions/Adverbs	als, indien
17	sui sibi sē/sēsē	him- her- itself, themselves	Pronoun	Pronouns/Interrogatives	zich(zelf)
18	omnis -e	all, every, as a whole	Adjective: 3rd Declension	Measurement	al, elk, ieder, geheel
19	nec	and not, nor; nec ... nec, neither ... nor; → neque	Conjunction	Conjunctions/Adverbs	en niet, noch; nec ... nec: noch ... noch
20	sed	but	Conjunction	Conjunctions/Adverbs	maar
21	ā ab abs	from, by (+abl.)	Preposition	Place	van, vanaf, door (+ abl.)
22	ipse ipsa ipsum	him- her- itself	Pronoun	Pronouns/Interrogatives	zelf
23	possum posse potuī	be able	Verb: Irregular	Making/Doing	kunnen
24	aut	or	Conjunction	Conjunctions/Adverbs	of
25	māgnus -a -um	great	Adjective: 1st and 2nd Declension	Measurement	groot
26	ex, ē	out of, from (+ abl.)	Preposition	Place	uit, vanuit (+ abl.)
27	suus -a -um	his own, her own, its own	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	zijn, haar, hun (eigen)
28	dō dare dedī datum	give	Verb: 1st Conjugation	Social Life	geven
29	quam	how?; (after comparative) than	Adverb	Pronouns/Interrogatives	hoe; (na comparatief) dan
30	per	through (+acc.)	Preposition	Place	door, doorheen (+ acc.)
31	videō vidēre vīdī vīsum	see	Verb: 2nd Conjugation	Vision	zien
32	faciō facere fēcī factum	do, make	Verb: 3rd Conjugation -iō	Making/Doing	doen, maken
33	dīcō dīcere dīxī dictum	say; causam dīcere, plead a case; diem dīcere, appoint a day	Verb: 3rd Conjugation -ō	Speech/Oratory	zeggen, spreken
34	iam	now; already	Adverb	Time	nu, al, reeds
35	atque	and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac	Conjunction	Conjunctions/Adverbs	en (ook); (na comparatief) dan
36	ac	and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque	Conjunction	Conjunctions/Adverbs	en (ook); (na comparatief) dan
37	alius -a -ud	other, another; ālias: at another time	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	ander
38	rēs reī f.	thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)	Noun: 5th Declension	Life and Being	zaak, ding; res publica: staat
39	habeō habēre habuī habitum	have, hold	Verb: 2nd Conjugation	Other Senses	hebben, houden
40	animus -ī m.	spirit, mind	Noun: 2nd Declension	Life and Being	geest, gemoed, moed
41	meus -a -um	my	Pronoun	Pronouns/Interrogatives	mijn
42	deus -ī m.; dea -ae f.	god; goddess	Noun: 2nd Declension	Religion	god; godin
43	multus -a -um	much, many; multō, by far	Adjective: 1st and 2nd Declension	Measurement	veel; multo: veruit
44	tuus -a -um	your	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	jouw
45	ferō ferre tulī lātum	bear, carry, endure	Verb: Irregular	Verbs of Transport	dragen, brengen, verdragen
46	dē	down from, about, concerning (+ abl.)	Preposition	Place	van ... af, over (+ abl.)
47	nē	lest, that not	Conjunction	Conjunctions/Adverbs	opdat niet, dat (na vrezen)
48	manus -ūs f.	hand; band of men	Noun: 4th Declension	The Body	hand; groep, bende
49	nūllus -a -um	not any, no one	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	geen, niemand
50	nunc	now	Adverb	Time	nu
51	nōs nostrum/nostrī nōbīs nōs	we	Pronoun	Pronouns/Interrogatives	wij, ons
52	noster nostra nostrum	our	Pronoun	Pronouns/Interrogatives	ons, onze
53	ūnus -a -um	one	Adjective: 1st and 2nd Declension	Measurement	één
54	diēs diēī m./f.	day	Noun: 5th Declension	Lengths of Time	dag
55	nihil, nīl	nothing; not at all	Noun: Indeclinable	Measurement	niets; helemaal niet
56	tum or tunc	then	Adverb	Time	dan, toen
57	enim	for, indeed	Conjunction	Pronouns/Interrogatives	want, immers
58	tamen	nevertheless, still	Conjunction	Conjunctions/Adverbs	toch, nochtans
59	īdem eadem idem	the same	Pronoun	Pronouns/Interrogatives	dezelfde, hetzelfde
60	rēx rēgis m.	king	Noun: 3rd Declension	The City	koning
61	nam or namque	for, indeed, really	Conjunction	Conjunctions/Adverbs	want, immers
62	locus -ī m.	place; loca (n. pl.) region	Noun: 2nd Declension	Geography	plaats; loca: streek
63	veniō venīre vēnī ventum	come	Verb: 4th Conjugation	Motion	komen
64	inter	between, among; during (+ acc.)	Preposition	Place	tussen, onder; tijdens (+ acc.)
65	pars partis f.	part	Noun: 3rd Declension	Measurement	deel, kant
66	volō velle voluī	wish, be willing	Verb: Irregular	Emotions	willen
67	etiam	also, even	Adverb	Conjunctions/Adverbs	ook, zelfs
68	bonus -a -um	good	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	goed
69	agō agere ēgī āctum	drive, do, act	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	drijven, doen, handelen
70	terra -ae f.	land	Noun: 1st Declension	Earth and Water	aarde, land
71	pater patris m.	father, ancestor	Noun: 3rd Declension	The Household	vader; voorvader
72	neque	and not, nor; neque ... neque, neither ... nor; → nec	Conjunction	Conjunctions/Adverbs	en niet, noch; neque ... neque: noch ... noch
73	domus -ūs f.	house, home	Noun: 4th Declension	The House	huis, thuis
74	at	but, but yet	Conjunction	Conjunctions/Adverbs	maar
75	corpus corporis n.	body	Noun: 3rd Declension	The Body	lichaam
76	quoque	also, too	Conjunction	Conjunctions/Adverbs	ook
77	aliquis -quae -quod	some, any; si quis, si quid: anyone who, anything that	Pronoun	Pronouns/Interrogatives	iemand, iets; een of ander
78	tōtus -a -um	whole, entire	Adjective: 1st and 2nd Declension	Measurement	geheel, heel
79	sīc	in this manner, thus; sīc ... ut: in the same way as	Adverb	Conjunctions/Adverbs	zo, op deze manier
80	hīc	here; hinc: from here	Adverb	Place	hier
81	iste ista istud	that, that of yours; adv. istīc or istūc: over there; istinc: from over there	Pronoun	Pronouns/Interrogatives	die (van jou), dat
82	urbs urbis f.	city	Noun: 3rd Declension	The City	stad
83	petō petere petīvī petītum	seek, aim at	Verb: 3rd Conjugation -ō	Motion	zoeken, trachten te bereiken, vragen
84	iubeō iubēre iussī iussum	bid, order	Verb: 2nd Conjugation	Justice	bevelen
85	vir virī m.	man	Noun: 2nd Declension	People	man
86	bellum -ī n.	war	Noun: 2nd Declension	War and Peace	oorlog
87	vīta -ae f.	life	Noun: 1st Declension	Life and Being	leven
88	homō hominis m.	human being	Noun: 3rd Declension	People	mens
89	tempus -oris n.	time	Noun: 3rd Declension	Time	tijd
90	magis	more	Adverb	Conjunctions/Adverbs	meer
91	prīmus -a -um	first	Adjective: 1st and 2nd Declension	Time	eerste
92	ubi	where, when	Adverb	Place	waar, wanneer, toen
93	hostis -is m./f.	stranger, enemy	Noun: 3rd Declension	War and Peace	vijand; vreemdeling
94	an	or (in questions); utrum ... an: whether ... or	Conjunction	Conjunctions/Adverbs	of (in vragen); utrum ... an: of ... of
95	mors mortis f.	death	Noun: 3rd Declension	Life and Being	dood
96	tam	so, so much	Adverb	Conjunctions/Adverbs	zo, zozeer
97	eō īre iī/īvī itum	go	Verb: Irregular	Motion	gaan
98	arma -ōrum n. pl.	arms, weapons	Noun: 2nd Declension	War and Peace	wapens
99	superus -a -um	situated above, upper	Adjective: 1st and 2nd Declension	Religion	boven gelegen, hoger; superi: de goden
100	nisi, nī	if not, unless	Conjunction	Conjunctions/Adverbs	als niet, tenzij
101	vincō vincere vīcī victum	conquer	Verb: 3rd Conjugation -ō	War and Peace	overwinnen
102	pōnō pōnere posuī positum	put, place; put aside	Verb: 3rd Conjugation -ō	Verbs of Transport	plaatsen, zetten, leggen; neerleggen
103	dum	while (+ indic.); until (+ subj.); provided that (+ subj.)	Conjunction	Time	terwijl (+ ind.); totdat, zolang als (+ conj.)
104	sine	without (+ abl.)	Preposition	Non-Directional Prepositions	zonder (+ abl.)
105	tantus -a -um	so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth	Adjective: 1st and 2nd Declension	Measurement	zo groot, zoveel
106	teneō -ēre -uī tentum	hold, keep	Verb: 2nd Conjugation	Other Senses	houden, vasthouden
107	causa -ae f.	cause, reason; causā + preceding genitive, for the sake of	Noun: 1st Declension	Speech/Oratory	oorzaak, reden; zaak; causa (+ gen.): omwille van
108	sequor sequī secūtus sum	follow	Verb: Deponent	Motion	volgen
109	crēdō crēdere crēdidī crēditum	believe	Verb: 3rd Conjugation -ō	Education/Knowledge	geloven, toevertrouwen
110	accipiō -cipere -cēpī -ceptum	receive	Verb: 3rd Conjugation -iō	Social Life	ontvangen, aannemen
111	virtūs -ūtis f.	valor, manliness, virtue	Noun: 3rd Declension	Personality Traits/Characteristics	moed, dapperheid, deugd
112	ante	before, in front of (adv. and prep. + acc.)	Preposition	Time	voor (+ acc.); vroeger, tevoren
